date,country,gdp,inf,rs
1979-04-01,USA,0.002373869677321234,0.009321174331087912,0.007535839962326842
1979-07-01,USA,0.010192446018681724,0.001742682054782434,0.012794719038622733
1979-10-01,USA,0.007630049456688642,-0.0029096918416975817,0.027452348788935932
1980-01-01,USA,0.01652164632801178,0.001973501969722112,0.02904450369029404
1980-04-01,USA,0.002415402940692294,0.005209637889861799,0.03724651570802469
1980-07-01,USA,-0.013832085990484926,0.0073926574015551645,0.04546915806548345
1980-10-01,USA,-0.013798292229558709,0.008213908312367832,0.040253764894339523
1981-01-01,USA,-0.009305554960937414,0.007462270188117355,0.0478663202143198
1981-04-01,USA,0.004721651227264293,0.006102323614708173,0.052251937249603676
1981-07-01,USA,-0.018161187998802595,0.004666765744857157,0.06220784808907936
1981-10-01,USA,-0.007841127469699925,0.0006542111743275524,0.05974355783099591
1982-01-01,USA,-0.011290194564692779,0.014477083941547854,0.06062844033921642
1982-04-01,USA,-0.008117022063844216,0.018103795496845907,0.05741331709621452
1982-07-01,USA,-0.007774308974541668,0.0165447208670168,0.060424805665185946
1982-10-01,USA,-0.016106602284438554,0.01378540524536909,0.047978819187908486
1983-01-01,USA,-0.023821562414393788,0.017663905819842705,0.055910936975788486
1983-04-01,USA,-0.018457773695343585,0.010996869168087635,0.053106425385474394
1983-07-01,USA,-0.012583489220900633,0.013396329657499075,0.0415959825901905
1983-10-01,USA,-0.022965782358818437,0.008783291095185296,0.03397208723396281
1984-01-01,USA,-0.010557889628831836,0.017848103671658493,0.029942830416909334
1984-04-01,USA,0.0014212982491031085,0.01668538103730952,0.04638010159678191
1984-07-01,USA,-0.018895597004025887,0.018704584125580383,0.03977670444058287
1984-10-01,USA,-0.013172803698352274,0.011448291524627901,0.04121924045475669
1985-01-01,USA,-0.01017705580478684,0.008183541046347815,0.040856738755416615
1985-04-01,USA,0.0004968711098438435,0.0002528928916505826,0.03207243638398366
1985-07-01,USA,0.007136310548516267,0.008840321022883686,0.040124601799349124
1985-10-01,USA,0.005998691945766951,0.009290395363695463,0.04459404371846405
1986-01-01,USA,0.002566813581337822,0.010146868376682971,0.04707506931634998
1986-04-01,USA,-0.006421936667229077,0.010013485816408981,0.04538725740738443
1986-07-01,USA,-0.003330799096603566,0.01785806988195031,0.03519492860972505
1986-10-01,USA,0.004661800653739244,0.013479356025900197,0.03382584400621652
1987-01-01,USA,0.01494469538107367,0.017966621469818884,0.04097344167183913
1987-04-01,USA,0.0020105765073070918,0.026330306049800096,0.04985958468703395
1987-07-01,USA,-0.01586256234775215,0.03146553753287805,0.04995667837982151
1987-10-01,USA,-0.01456385579514174,0.024384275431450938,0.04157273997320609
1988-01-01,USA,-0.017362892971764625,0.02344909378653879,0.04091456161882827
1988-04-01,USA,-0.017727162183361376,0.023297244575358242,0.029976376215997722
1988-07-01,USA,-0.006603372706279314,0.019581866244979113,0.026322658136798554
1988-10-01,USA,-0.017742500089592952,0.016553639298563603,0.026394097215301088
1989-01-01,USA,-0.00028826831752920123,0.016081460063122756,0.03423542994641985
1989-04-01,USA,-0.0002552019268307397,0.013621225138211502,0.034737666921687255
1989-07-01,USA,0.004519983971934681,0.014252991569452849,0.042862373184685505
1989-10-01,USA,-0.0060749031875512605,0.009198331210991364,0.04107975426811946
1990-01-01,USA,0.0026194776717267656,0.021324686916951177,0.054370169814128184
1990-04-01,USA,-0.025962575252293108,0.027095953476912023,0.04977038804742237
1990-07-01,USA,-0.02701780055418782,0.018251027884851837,0.05779596167818846
1990-10-01,USA,-0.020476786117922984,0.020187065972508505,0.04791724320576615
1991-01-01,USA,-0.00803614656977236,0.018428712160788993,0.04839183170240304
1991-04-01,USA,-0.005866209113751026,0.029668850262063395,0.05359263925691043
1991-07-01,USA,-0.004234124651903129,0.027509287714004283,0.07280149142654689
1991-10-01,USA,-0.0034482057214248584,0.031850043905703194,0.0613172749102501
1992-01-01,USA,-0.009149212307118014,0.023811400523168495,0.07069927099595852
1992-04-01,USA,-0.010395039255299826,0.037204607529899486,0.06627615340917888
1992-07-01,USA,-0.026730712537362672,0.025996408107649235,0.06634778421673171
1992-10-01,USA,-0.016990699783777936,0.01969148477658799,0.0705368900232285
1993-01-01,USA,-0.007252255241380947,0.01601356339519924,0.06494966252496943
1993-04-01,USA,-0.0008869961795945867,0.011158967435704764,0.048473432074511484
1993-07-01,USA,0.006329380048514351,0.010014628156895342,0.052130259450475856
1993-10-01,USA,-0.005431609263597346,0.012071684898658078,0.04654495381366403
1994-01-01,USA,0.006355592148122882,0.013060946358046392,0.03380174556694088
1994-04-01,USA,0.01267839494129877,0.008952388131339844,0.048163573608580944
1994-07-01,USA,0.018204724372243995,0.01655679713557414,0.03724106804011055
1994-10-01,USA,0.004771490970821408,0.01887534459569292,0.04162804403728511
1995-01-01,USA,0.007425203756658961,0.006468065227280148,0.04456137894976913
1995-04-01,USA,0.02536570312484944,0.011954025728753401,0.03764164646400982
